orderdate,productkey,customerkey,orderquantity,unitprice,extendedamount,productcost,salesamount,year,order_month,order_year
2003-08-01,477,16982,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-02,477,16781,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-03,477,21918,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-06,477,16953,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-07,477,17506,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-07,477,16814,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-07,477,18110,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-08,477,23277,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-08,477,17447,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-08,477,18102,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-09,477,18095,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-15,477,17014,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-17,477,17165,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-18,477,19639,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-19,477,18111,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-19,477,18751,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-20,477,17016,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-23,477,18094,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-27,477,18109,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-29,477,18348,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-08-31,477,18760,1,4.99,4.99,1.8663,4.99,2003,8,2003
2003-09-04,477,18123,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-04,477,17437,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-04,477,16383,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-05,477,20494,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-06,477,17130,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-08,477,17419,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-09,477,18424,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-09,477,19214,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-09,477,17683,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-11,477,17275,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-11,477,16760,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-13,477,16860,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-13,477,17380,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-15,477,16767,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-15,477,18777,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-16,477,17366,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-18,477,18552,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-19,477,16965,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-20,477,17169,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-23,477,18064,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-24,477,17138,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-26,477,18423,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-26,477,18349,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-27,477,18063,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-29,477,18327,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-09-30,477,18574,1,4.99,4.99,1.8663,4.99,2003,9,2003
2003-10-02,477,16992,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-04,477,18312,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-04,477,16963,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-05,477,18387,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-06,477,20505,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-07,477,17122,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-08,477,23007,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-11,477,17031,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-12,477,18657,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-12,477,18358,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-13,477,20438,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-15,477,17033,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-16,477,17170,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-17,477,16788,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-20,477,17605,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-21,477,17694,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-22,477,21324,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-23,477,18106,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-25,477,18354,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-27,477,18071,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-29,477,21288,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-10-31,477,19216,1,4.99,4.99,1.8663,4.99,2003,10,2003
2003-11-02,477,18510,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-03,477,17455,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-03,477,17695,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-04,477,22024,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-04,477,17418,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-05,477,17698,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-07,477,21712,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-09,477,17407,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-10,477,17018,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-17,477,16874,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-22,477,18509,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-23,477,21140,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-26,477,21444,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-27,477,18342,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-28,477,21713,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-28,477,17397,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-11-30,477,17489,1,4.99,4.99,1.8663,4.99,2003,11,2003
2003-12-02,477,21492,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-02,477,17428,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-02,477,18776,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-06,477,17467,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-08,477,18975,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-11,477,20398,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-11,477,17578,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-12,477,18112,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-12,477,18099,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-12,477,17610,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-17,477,19633,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-18,477,17538,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-20,477,17174,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-23,477,21477,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-23,477,17434,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-23,477,17562,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-24,477,21245,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-25,477,16242,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-26,477,21317,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-26,477,17426,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-26,477,16875,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-28,477,17459,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-29,477,16990,1,4.99,4.99,1.8663,4.99,2003,12,2003
2003-12-31,477,21368,1,4.99,4.99,1.8663,4.99,2003,12,2003
2004-01-01,477,17396,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-09,477,21328,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-09,477,17436,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-10,477,17696,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-10,477,17532,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-12,477,16154,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-14,477,17547,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-15,477,18061,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-16,477,12894,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-16,477,17577,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-17,477,17179,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-18,477,18100,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-19,477,18347,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-23,477,21460,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-23,477,18405,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-28,477,16644,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-01-29,477,21303,1,4.99,4.99,1.8663,4.99,2004,1,2004
2004-02-01,477,16677,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-02,477,17507,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-02,477,18069,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-03,477,17155,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-04,477,18417,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-04,477,16905,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-06,477,17598,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-07,477,18473,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-08,477,20094,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-08,477,17172,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-09,477,17602,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-10,477,17440,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-17,477,18343,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-18,477,11982,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-18,477,16900,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-19,477,17525,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-20,477,21433,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-21,477,20105,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-24,477,18761,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-25,477,17408,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-26,477,17395,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-27,477,21718,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-02-29,477,20643,1,4.99,4.99,1.8663,4.99,2004,2,2004
2004-03-02,477,17607,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-03,477,18235,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-03,477,16994,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-04,477,20099,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-04,477,17863,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-05,477,22340,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-05,477,17265,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-06,477,17454,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-07,477,21800,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-09,477,20095,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-11,477,18498,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-12,477,18531,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-14,477,18425,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-14,477,19644,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-16,477,16655,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-19,477,16808,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-19,477,17606,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-21,477,16647,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-22,477,16775,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-23,477,22047,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-25,477,18062,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-25,477,18778,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-28,477,17448,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-03-28,477,16901,1,4.99,4.99,1.8663,4.99,2004,3,2004
2004-04-01,477,18750,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-02,477,18410,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-02,477,16838,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-04,477,18474,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-04,477,18667,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-07,477,20774,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-09,477,17435,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-11,477,18328,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-11,477,17520,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-12,477,16904,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-14,477,17344,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-15,477,18339,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-15,477,17032,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-15,477,16817,1,4.99,4.99,1.8663,4.99,2004,4,2004
2004-04-19,477,16769,1,4.99,4.99,1.8663,4.99,2004,4,2004
